Gene Ontology	Bacteria	Paper ID
lymphocyte activation	Streptococcus pneumoniae	23363038
immune system process	Streptococcus pneumoniae	23363038
leukocyte activation	Streptococcus pneumoniae	28330478
lymphocyte activation	Streptococcus pneumoniae	28330478
immune system process	Streptococcus pneumoniae	28330478
leukocyte activation	Streptococcus pneumoniae	20855509
lymphocyte activation	Streptococcus pneumoniae	20855509
immune system process	Streptococcus pneumoniae	20855509
leukocyte activation	Streptococcus pneumoniae	30134544
lymphocyte activation	Streptococcus pneumoniae	30134544
immune system process	Streptococcus pneumoniae	30134544
leukocyte activation	Streptococcus pneumoniae	21843496
lymphocyte activation	Streptococcus pneumoniae	21843496
immune system process	Streptococcus pneumoniae	21843496
leukocyte activation	Streptococcus pneumoniae	22371375
lymphocyte activation	Streptococcus pneumoniae	22371375
immune system process	Streptococcus pneumoniae	22371375
leukocyte activation	Streptococcus pneumoniae	27211564
lymphocyte activation	Streptococcus pneumoniae	27211564
immune system process	Streptococcus pneumoniae	27211564
leukocyte activation	Streptococcus pneumoniae	28596706
lymphocyte activation	Streptococcus pneumoniae	28596706
immune system process	Streptococcus pneumoniae	28596706
leukocyte activation	Streptococcus pneumoniae	30283440
lymphocyte activation	Streptococcus pneumoniae	30283440
immune system process	Streptococcus pneumoniae	30283440
leukocyte activation	Streptococcus pneumoniae	21044323
lymphocyte activation	Streptococcus pneumoniae	21044323
immune system process	Streptococcus pneumoniae	21044323
leukocyte activation	Streptococcus pneumoniae	24360193
lymphocyte activation	Streptococcus pneumoniae	24360193
immune system process	Streptococcus pneumoniae	24360193
leukocyte activation	Streptococcus pneumoniae	19779562
lymphocyte activation	Streptococcus pneumoniae	19779562
immune system process	Streptococcus pneumoniae	19779562
leukocyte activation	Streptococcus pneumoniae	29312339
lymphocyte activation	Streptococcus pneumoniae	29312339
immune system process	Streptococcus pneumoniae	29312339
leukocyte activation	Streptococcus pneumoniae	30662163
lymphocyte activation	Streptococcus pneumoniae	30662163
immune system process	Streptococcus pneumoniae	30662163
leukocyte activation	Streptococcus pneumoniae	12225590
lymphocyte activation	Streptococcus pneumoniae	12225590
immune system process	Streptococcus pneumoniae	12225590
leukocyte activation	Streptococcus pneumoniae	23990136
lymphocyte activation	Streptococcus pneumoniae	23990136
immune system process	Streptococcus pneumoniae	23990136
leukocyte activation	Streptococcus pneumoniae	24006947
lymphocyte activation	Streptococcus pneumoniae	24006947
immune system process	Streptococcus pneumoniae	24006947
leukocyte activation	Haemophilus influenzae	22306269
lymphocyte activation	Haemophilus influenzae	22306269
